stitio,veg_5m_n,veg_15m_n,veg_30m_n,veg_50m_n,veg_5m_l,veg_15m_l,veg_30m_l,veg_50m_l,veg_5m_s,veg_15m_s,veg_30m_s,veg_50m_s,veg_5m_o,veg_15m_o,veg_30m_o,veg_50m_o,norte,leste,sul,oeste,d,D,Area
POR01,30,30,60,60,30,500,500,500,18,63,0,30,45,65,5,65,50,5,50,50,100,55,2750
POR03,20,15,15,75,0,75,100,120,95,115,0,0,15,70,30,20,50,50,50,50,100,100,5000
POR04,20,15,20,18,140,70,40,70,15,5,25,110,80,105,25,0,50,50,50,50,100,100,5000
POR05,40,110,50,70,135,25,5,135,140,95,135,130,75,45,90,115,50,50,50,50,100,100,5000
POR06,95,115,45,35,45,50,48,60,80,50,115,75,140,125,45,140,50,50,50,50,100,100,5000
POR08,88,109,120,150,40,120,150,170,110,135,80,80,65,500,500,500,50,50,50,5,100,55,2750
POR09,0,0,95,175,500,500,500,500,500,500,500,500,0,0,105,135,30,0,0,50,30,50,750
POR10,30,125,95,130,500,500,500,500,15,20,113,105,135,95,150,500,50,0,50,30,100,30,1500
TAP12,5,15,10,10,10,20,15,21,15,15,16,10,8,10,20,.,50,50,50,50,100,100,5000
TAP13,500,500,500,500,85,140,150,200,50,135,160,180,500,500,500,500,0,30,30,0,30,30,450
TAP14,140,125,130,70,45,120,180,150,40,70,90,130,40,155,30,130,50,15,50,50,100,65,3250
TAP15,500,500,500,500,35,65,55,40,110,110,100,25,110,210,60,55,0,50,50,5,50,55,1375
TAP16,10,0,230,500,15,5,5,135,5,10,15,195,100,100,100,100,15,50,30,50,45,100,2250
TAP17,500,125,70,90,90,105,130,105,128,100,105,100,500,125,90,95,0,50,50,0,50,50,1250
TAP18,30,75,45,57,20,25,45,40,20,35,25,45,10,45,30,500,50,50,50,30,100,80,4000
MAR19,500,40,25,25,70,20,10,10,15,25,60,20,15,35,60,20,0,50,50,50,50,100,2500
MAR20,20,22,500,500,74,18,18,16,141,16,15,105,8,500,500,500,15,50,50,5,65,55,"1787,5"
MAR21,115,10,20,60,94,10,161,105,25,127,35,125,70,125,10,100,50,50,50,50,100,100,5000
MAR22,15,20,25,10,25,20,25,15,25,40,20,500,20,7,65,500,50,50,30,30,80,80,3200
MAR23,30,55,110,140,20,45,65,30,30,15,65,35,25,10,35,50,50,50,50,50,100,100,5000
MAR24,200,200,200,200,200,200,500,500,150,100,200,500,500,135,200,200,0,0,15,0,15,0,0
MAR25,20,35,85,115,5,115,80,90,5,55,75,.,135,145,155,140,50,50,50,50,100,100,5000
MAR26,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0
MAR27,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0
MAR28,500,500,500,500,500,500,15,135,500,500,500,10,500,500,500,500,0,0,0,0,0,0,0
MAR29,90,93,125,105,45,93,90,105,27,70,40,105,40,10,87,10,50,50,50,50,100,100,5000
MAR31,15,125,145,500,100,102,120,163,90,132,135,118,500,500,500,500,30,50,50,0,80,50,2000
UMB01,500,500,500,500,500,200,500,500,500,200,500,500,500,500,500,500,0,0,0,0,0,0,0
UMB02,500,500,500,500,50,165,500,500,500,500,500,500,500,500,500,500,0,15,0,0,0,15,0
UMB03,500,500,500,500,20,25,80,145,105,50,50,85,0,15,10,40,0,50,50,50,50,100,2500
UMB04,65,30,30,30,20,20,35,40,200,200,500,500,35,25,40,40,50,50,0,50,50,100,2500
UMB05,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0
UMB06,10,15,5,5,10,10,15,5,0,85,160,160,25,110,75,115,50,50,50,50,100,100,5000
UMB07,500,500,30,40,500,500,500,500,500,500,500,500,500,500,25,78,0,0,0,0,0,0,0
UMB08,90,120,105,77,500,500,500,500,85,105,100,110,105,110,120,125,50,0,50,50,100,50,2500
QUA01,500,500,500,500,45,100,120,110,50,100,120,120,500,500,500,500,0,50,50,0,50,50,1250
QUA02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na
QUA07,130,140,120,150,130,500,500,500,130,500,500,500,120,120,500,500,50,5,5,15,55,20,550
QUA08,10,140,120,100,500,500,500,500,5,5,5,5,5,5,5,5,50,0,50,50,100,50,2500
QUA09,35,35,35,35,500,500,500,500,35,35,500,500,500,500,500,500,50,0,15,0,65,0,0
QUA10,40,30,50,25,20,35,45,20,500,500,500,500,500,500,500,500,50,50,0,0,50,50,1250
QUA11,5,500,500,500,500,500,500,500,5,5,10,5,5,500,500,500,5,0,50,5,55,5,"137,5"
QUA12,500,500,500,500,500,500,500,500,10,10,5,5,15,5,5,5,0,0,50,50,50,50,1250
QUA13,20,25,25,25,200,500,500,500,5,10,15,20,25,30,20,5,50,0,50,50,100,50,2500
QUA14,45,30,25,20,5,5,35,15,5,35,30,5,35,25,30,15,50,50,50,50,100,100,5000
QUA15,120,120,120,45,500,500,500,500,500,500,500,500,120,100,25,20,50,0,0,50,50,50,1250
QUA16,95,5,25,45,120,75,20,40,500,500,500,500,500,500,500,500,50,50,0,0,50,50,1250
QUA17,5,40,15,30,5,10,115,130,500,500,500,500,500,25,45,75,50,50,0,0,50,50,1250
QUA18,25,15,20,0,25,20,25,20,15,10,5,10,500,5,10,0,50,50,50,0,100,50,2500
QUA20,35,70,500,500,20,25,90,45,55,35,15,40,20,10,500,500,15,50,50,15,65,65,"2112,5"
QUA21,500,500,500,500,65,50,70,65,40,90,80,85,30,40,65,60,0,50,50,50,50,100,2500
QUA22,500,500,500,145,500,130,155,165,500,130,73,500,500,500,500,500,0,0,0,0,0,0,0
QUA23,5,35,110,110,30,110,110,110,115,110,110,110,140,135,0,125,50,50,50,50,100,100,5000
QUA25,55,500,500,500,30,500,500,500,500,500,500,500,10,500,500,500,5,5,0,5,5,10,25
QUA26,500,500,500,500,20,50,40,130,500,500,500,500,500,500,500,500,0,50,0,0,0,50,0
QUA27,500,500,500,500,15,40,15,35,5,30,25,10,500,500,500,500,0,50,50,0,50,50,1250
QUA28,500,500,500,500,500,500,500,500,500,500,500,500,90,60,35,35,0,0,0,50,0,50,0
QUA29,500,500,500,500,120,140,135,170,170,115,40,20,65,80,135,105,0,50,50,50,50,100,2500
QUA30,500,500,500,500,500,500,500,500,150,100,170,170,500,500,500,500,0,0,50,0,50,0,0
QUA31,0,95,120,130,500,500,500,500,0,0,80,90,30,50,55,80,50,0,50,50,100,50,2500
QUA32,105,35,70,48,56,500,500,500,120,0,15,125,95,125,130,115,50,5,50,50,100,55,2750
QUA33,35,80,500,500,25,60,100,65,55,25,20,35,95,115,20,60,15,50,50,50,65,100,3250
QUA34,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0
QUA35,25,500,500,500,60,35,25,500,40,500,500,500,65,90,35,160,5,30,5,50,10,80,400
QUA37,500,500,500,500,75,105,0,110,80,45,85,55,500,500,500,500,0,50,50,0,50,50,1250
QUA38,5,5,500,500,95,30,10,50,5,5,15,30,5,25,110,125,15,50,50,50,65,100,3250
QUA39,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0
QUA40,5,25,15,500,15,5,25,5,5,5,5,10,10,5,5,20,30,50,50,50,80,100,4000
QUA41,500,500,500,500,500,500,500,500,0,0,0,0,0,0,160,700,0,0,50,30,50,30,750
